epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,956.442,1.26838,1.75124,1.14889,0.00618,0.64669,0.62202,0.65968,0.60716,0.36479,0.63094,0.65788,0.61464,0.32694,1.48232,2.39938,1.61251,0.01094,0,0.000369917,0.000369917,0.000369917
2,1895.66,1.31674,1.80704,1.21708,0.00694,0.71569,0.7504,0.55305,0.63674,0.35581,0.73463,0.54355,0.61,0.31876,1.55608,2.45296,1.60265,0.01189,0,0.000715822,0.000715822,0.000715822
3,2814.45,1.3759,1.77561,1.28714,0.00698,0.72749,0.62065,0.56282,0.53189,0.29637,0.61396,0.54272,0.50928,0.2665,1.62683,2.50439,1.82391,0.01329,0,0.00103728,0.00103728,0.00103728
4,3745.52,1.40618,1.89189,1.3415,0.00722,0.73711,0.63403,0.54191,0.5722,0.32825,0.67489,0.51563,0.55494,0.29396,1.61905,2.41698,1.67393,0.01254,0,0.00100101,0.00100101,0.00100101
5,4683.51,1.39501,1.83115,1.31064,0.00711,0.74059,0.61173,0.59283,0.57656,0.33818,0.69218,0.53087,0.57115,0.28902,1.577,2.72618,1.88377,0.01264,0,0.000964348,0.000964348,0.000964348
6,5631.21,1.40704,1.79265,1.32806,0.00718,0.72494,0.56249,0.62057,0.53764,0.30738,0.53981,0.58601,0.51061,0.26575,1.63094,2.64169,1.77256,0.01308,0,0.000927685,0.000927685,0.000927685
7,6567.58,1.37737,1.75526,1.26056,0.0072,0.74107,0.71751,0.5916,0.58649,0.33017,0.69501,0.56005,0.55689,0.27744,1.61766,2.31016,1.67238,0.0124,0,0.000891022,0.000891022,0.000891022
8,7502.94,1.41204,1.82965,1.24714,0.0071,0.68398,0.60366,0.6343,0.58304,0.33345,0.62216,0.58086,0.56967,0.30074,1.57337,2.45805,1.63863,0.01252,0,0.000854359,0.000854359,0.000854359
9,8438.73,1.34697,1.7751,1.24934,0.00691,0.68919,0.68193,0.60516,0.61602,0.34804,0.63504,0.58401,0.58127,0.30935,1.54666,2.34084,1.58256,0.01211,0,0.000817696,0.000817696,0.000817696
10,9374,1.34497,1.72646,1.21419,0.00686,0.68992,0.73509,0.59587,0.67368,0.37463,0.77039,0.53724,0.63745,0.32392,1.57347,2.47263,1.57493,0.01247,0,0.000781033,0.000781033,0.000781033
11,10317.1,1.33788,1.76156,1.19655,0.00664,0.67481,0.75185,0.55238,0.65313,0.36976,0.75097,0.55504,0.63686,0.33811,1.57997,2.48388,1.57767,0.01256,0,0.00074437,0.00074437,0.00074437
