epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
27,24825.9,1.1682,1.52273,0.85783,0.00548,0.41949,0.81268,0.68425,0.77137,0.46333,0.74173,0.69608,0.74379,0.39991,1.434,2.39549,1.11087,0.01099,0,0.00014556,0.00014556,0.00014556
28,25755.5,1.17691,1.57592,0.89814,0.00562,0.43964,0.82388,0.69506,0.7565,0.45925,0.77405,0.67645,0.72735,0.39872,1.45099,2.30311,1.09818,0.01102,0,0.00013962,0.00013962,0.00013962
29,26686.9,1.18426,1.53582,0.89,0.00533,0.40443,0.82627,0.68514,0.75979,0.46046,0.80294,0.66103,0.7384,0.40667,1.42283,2.31324,1.0902,0.01096,0,0.00013368,0.00013368,0.00013368
30,27612.9,1.1841,1.61643,0.87719,0.00537,0.42826,0.83171,0.69609,0.76172,0.45835,0.81538,0.67639,0.74596,0.39559,1.44795,2.33759,1.10921,0.01117,0,0.00012774,0.00012774,0.00012774
31,28553.8,1.20485,1.60485,0.87488,0.00552,0.40379,0.82416,0.72476,0.77405,0.46308,0.79991,0.68844,0.74903,0.40307,1.44784,2.32131,1.12046,0.01129,0,0.0001218,0.0001218,0.0001218
32,29500.2,1.16541,1.56793,0.84722,0.00528,0.41088,0.80796,0.71989,0.77608,0.47097,0.79003,0.67484,0.75255,0.41192,1.4316,2.36978,1.10266,0.01087,0,0.00011586,0.00011586,0.00011586
33,30440.8,1.15924,1.54002,0.85429,0.00527,0.39072,0.82183,0.69302,0.75873,0.46211,0.7986,0.67543,0.73784,0.41005,1.44561,2.35619,1.12427,0.0111,0,0.00010992,0.00010992,0.00010992
34,31374.7,1.17452,1.56226,0.85998,0.00539,0.39754,0.81664,0.71087,0.78081,0.47278,0.77526,0.69663,0.75566,0.41216,1.43557,2.388,1.10301,0.0108,0,0.00010398,0.00010398,0.00010398
35,32309.1,1.16238,1.57276,0.855,0.00533,0.39782,0.82526,0.71771,0.77543,0.47735,0.79027,0.70023,0.75,0.41556,1.43094,2.30118,1.06707,0.01086,0,9.804e-05,9.804e-05,9.804e-05
36,33251.9,1.14785,1.52348,0.83374,0.00512,0.40123,0.83036,0.70844,0.78847,0.47446,0.79987,0.68296,0.76489,0.41947,1.42504,2.29567,1.04471,0.01088,0,9.21e-05,9.21e-05,9.21e-05
37,34184,1.16715,1.59156,0.86955,0.00515,0.416,0.80821,0.71416,0.76723,0.46919,0.78769,0.6973,0.75731,0.41026,1.42216,2.29657,1.05081,0.01071,0,8.616e-05,8.616e-05,8.616e-05
38,35108.9,1.17961,1.54595,0.84833,0.00539,0.39627,0.81467,0.71575,0.76987,0.46594,0.7912,0.67749,0.75014,0.41137,1.42119,2.31375,1.05866,0.01078,0,8.022e-05,8.022e-05,8.022e-05
39,36046.5,1.14839,1.51469,0.84002,0.00508,0.39004,0.82808,0.70696,0.78159,0.4743,0.84067,0.66195,0.74967,0.4184,1.41688,2.26562,1.04731,0.01078,0,7.428e-05,7.428e-05,7.428e-05
40,36996.4,1.18013,1.55177,0.84999,0.00515,0.40776,0.82342,0.7242,0.7729,0.47503,0.80105,0.70675,0.75258,0.41414,1.40887,2.23233,1.05683,0.01058,0,6.834e-05,6.834e-05,6.834e-05
41,37927,1.14957,1.48677,0.74503,0.00583,0.28108,0.82849,0.7205,0.77074,0.47556,0.80543,0.70006,0.75846,0.41802,1.43268,2.30696,1.05886,0.01073,0,6.24e-05,6.24e-05,6.24e-05
42,38870.1,1.15407,1.49096,0.73685,0.00584,0.27082,0.82932,0.72592,0.77072,0.47382,0.80335,0.70267,0.75284,0.42073,1.44143,2.29133,1.05394,0.01076,0,5.646e-05,5.646e-05,5.646e-05
43,39811.4,1.13991,1.46499,0.73593,0.00598,0.28342,0.84109,0.71358,0.76641,0.47393,0.80967,0.69021,0.74414,0.41264,1.43572,2.30687,1.07743,0.01073,0,5.052e-05,5.052e-05,5.052e-05
44,40751.6,1.13993,1.44155,0.74205,0.00578,0.27048,0.82663,0.70463,0.76586,0.47603,0.7866,0.69867,0.75187,0.41543,1.42858,2.31143,1.05478,0.01071,0,4.458e-05,4.458e-05,4.458e-05
45,41698.9,1.14614,1.54635,0.7283,0.0057,0.27111,0.8553,0.69488,0.76549,0.47499,0.81231,0.67858,0.74672,0.41387,1.42414,2.288,1.07408,0.01072,0,3.864e-05,3.864e-05,3.864e-05
46,42644.7,1.135,1.47745,0.74152,0.00588,0.27997,0.84579,0.69808,0.76721,0.47415,0.81844,0.67658,0.74544,0.41297,1.42598,2.29009,1.05653,0.01078,0,3.27e-05,3.27e-05,3.27e-05
47,43585.3,1.1441,1.47786,0.71571,0.0058,0.27367,0.82258,0.70273,0.76323,0.47399,0.79833,0.68437,0.74669,0.41639,1.42348,2.29449,1.06596,0.01064,0,2.676e-05,2.676e-05,2.676e-05
48,44575,1.13935,1.46547,0.72066,0.0058,0.28004,0.80198,0.72123,0.76758,0.47712,0.78823,0.70509,0.75662,0.41781,1.42517,2.28577,1.0592,0.0107,0,2.082e-05,2.082e-05,2.082e-05
49,45526,1.13951,1.46444,0.72517,0.00567,0.26085,0.82204,0.70955,0.76617,0.47471,0.80095,0.69138,0.75228,0.41672,1.41846,2.28699,1.05049,0.01062,0,1.488e-05,1.488e-05,1.488e-05
50,46465.5,1.12762,1.4453,0.72707,0.0058,0.27932,0.81793,0.71967,0.76768,0.47664,0.79163,0.70474,0.75395,0.41626,1.42221,2.28208,1.05146,0.01067,0,8.94e-06,8.94e-06,8.94e-06
