epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
27,16257.7,1.15696,1.47721,1.08986,0.00492,0.63694,0.80898,0.46032,0.46186,0.29393,0.80794,0.45833,0.45712,0.24712,1.02991,1.79935,1.1372,0.00572,0,0.00014556,0.00014556,0.00014556
28,16862.5,1.16825,1.60383,1.10766,0.00493,0.62435,0.85401,0.43538,0.45106,0.28555,0.84602,0.42262,0.43789,0.23692,1.02899,1.78373,1.14557,0.00609,0,0.00013962,0.00013962,0.00013962
29,17463.7,1.1898,1.58985,1.13455,0.00512,0.68794,0.82246,0.47222,0.48424,0.30127,0.804,0.45437,0.46437,0.25123,1.0595,1.69016,1.08504,0.00635,0,0.00013368,0.00013368,0.00013368
30,18063.6,1.20928,1.59609,1.08952,0.00496,0.6635,0.8827,0.49008,0.52784,0.32679,0.48767,0.45545,0.4588,0.26814,1.08403,1.69033,1.0786,0.00724,0,0.00012774,0.00012774,0.00012774
31,18668.4,1.18922,1.54939,1.13746,0.00522,0.65259,0.93475,0.50109,0.56044,0.35152,0.49747,0.49232,0.50629,0.29516,1.05324,1.76019,1.08889,0.00637,0,0.0001218,0.0001218,0.0001218
32,19264.6,1.16392,1.58214,1.09263,0.00492,0.63252,0.50859,0.47024,0.48569,0.30602,0.4204,0.4881,0.43422,0.24589,1.0505,1.76161,1.12289,0.00672,0,0.00011586,0.00011586,0.00011586
33,19865.3,1.17153,1.53512,1.06506,0.00522,0.66092,0.53333,0.4852,0.50743,0.32331,0.494,0.45196,0.45555,0.26214,1.0464,1.71775,1.10468,0.00615,0,0.00010992,0.00010992,0.00010992
34,20466.3,1.20302,1.53926,1.07654,0.00487,0.60412,0.52847,0.52649,0.51678,0.32161,0.48861,0.50267,0.45868,0.25456,1.09895,1.70655,1.05079,0.00749,0,0.00010398,0.00010398,0.00010398
35,21064.6,1.1582,1.54402,1.07911,0.00494,0.63711,0.51652,0.50794,0.49654,0.3085,0.47504,0.49245,0.45952,0.25745,1.09151,1.76201,1.04607,0.0082,0,9.804e-05,9.804e-05,9.804e-05
36,21663.3,1.16454,1.55581,1.06793,0.005,0.59086,0.47263,0.51984,0.49462,0.30442,0.44384,0.48611,0.44838,0.2555,1.07884,1.79353,1.08396,0.00746,0,9.21e-05,9.21e-05,9.21e-05
37,22263.9,1.17826,1.58577,1.06576,0.00519,0.63131,0.50972,0.49405,0.51388,0.32523,0.44348,0.54563,0.48053,0.26646,1.04719,1.72679,1.03027,0.00645,0,8.616e-05,8.616e-05,8.616e-05
38,22862,1.10202,1.51446,1.02456,0.0048,0.5761,0.50851,0.51875,0.52337,0.32441,0.46461,0.46937,0.44808,0.25336,1.0675,1.68989,1.06737,0.00668,0,8.022e-05,8.022e-05,8.022e-05
39,23463.7,1.13521,1.49827,1.02653,0.00468,0.60586,0.84089,0.5196,0.51786,0.32622,0.81324,0.48786,0.46227,0.2614,1.0444,1.70998,1.0243,0.00635,0,7.428e-05,7.428e-05,7.428e-05
40,24065.8,1.14008,1.52173,1.04788,0.00451,0.57054,0.49546,0.51254,0.5068,0.31857,0.82996,0.49405,0.4848,0.26939,1.0289,1.70854,1.09435,0.00597,0,6.834e-05,6.834e-05,6.834e-05
41,24660.5,1.09254,1.45985,0.98036,0.00517,0.47015,0.49141,0.52206,0.52006,0.31897,0.47292,0.50794,0.48957,0.26743,1.04174,1.72545,1.01986,0.0066,0,6.24e-05,6.24e-05,6.24e-05
42,25251.8,1.09917,1.44284,0.96832,0.00509,0.4545,0.50187,0.52156,0.54682,0.34742,0.47573,0.4918,0.50945,0.28086,1.02885,1.69967,1.00826,0.00633,0,5.646e-05,5.646e-05,5.646e-05
43,25844.4,1.08758,1.40419,0.97075,0.00509,0.45301,0.50951,0.51786,0.52898,0.32902,0.47316,0.48413,0.48287,0.26137,1.03611,1.74309,0.98445,0.00679,0,5.052e-05,5.052e-05,5.052e-05
44,26436.3,1.10479,1.46476,0.95189,0.00542,0.4647,0.50906,0.51389,0.531,0.33604,0.49496,0.49802,0.50174,0.27048,1.04843,1.6889,0.99663,0.00673,0,4.458e-05,4.458e-05,4.458e-05
45,27026.3,1.10268,1.40144,0.93547,0.00524,0.46737,0.49311,0.51587,0.51643,0.32096,0.47689,0.49802,0.48588,0.25923,1.0385,1.70424,0.98204,0.00654,0,3.864e-05,3.864e-05,3.864e-05
46,27614.3,1.06707,1.38863,0.94427,0.00504,0.44723,0.50084,0.51587,0.52669,0.33042,0.48677,0.5,0.4959,0.26804,1.04166,1.67451,0.97876,0.00665,0,3.27e-05,3.27e-05,3.27e-05
