epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,1019.17,1.50475,2.63689,5.89061,0.00713,7.3604,0.66813,0.21624,0.23682,0.15471,0.66117,0.21382,0.2355,0.13688,1.53341,2.73899,7.20395,0.01097,0,0.000369917,0.000369917,0.000369917
2,1988.85,1.52397,2.44815,3.99217,0.00793,3.31089,0.59075,0.34363,0.3365,0.19489,0.59331,0.34791,0.33325,0.17885,1.71812,2.93318,5.14412,0.01357,0,0.000715822,0.000715822,0.000715822
3,2964.41,1.57005,2.31065,2.92362,0.00813,2.70926,0.56237,0.36178,0.34953,0.21389,0.56983,0.36874,0.34856,0.19929,1.6516,2.65696,3.99715,0.01256,0,0.00103728,0.00103728,0.00103728
4,3887.74,1.57292,2.31685,2.44937,0.00813,1.76578,0.5327,0.33631,0.29348,0.18211,0.33773,0.33062,0.29353,0.16937,1.64352,2.755,3.80309,0.0128,0,0.00100101,0.00100101,0.00100101
5,4842.81,1.55423,2.19469,2.18981,0.00822,1.01451,0.63488,0.35692,0.3813,0.23341,0.64177,0.35497,0.37854,0.21263,1.67487,2.66456,3.09029,0.01304,0,0.000964348,0.000964348,0.000964348
6,5812.11,1.54592,2.16961,2.0509,0.00799,0.93395,0.60566,0.45203,0.38433,0.22688,0.58207,0.4337,0.37647,0.20268,1.75997,2.7452,2.93425,0.01353,0,0.000927685,0.000927685,0.000927685
7,6779.29,1.50301,2.11537,1.89781,0.00793,0.92702,0.55998,0.43225,0.42068,0.23362,0.56521,0.43216,0.42133,0.22771,1.7136,2.71735,2.81366,0.01347,0,0.000891022,0.000891022,0.000891022
8,7721.85,1.55929,2.15096,1.81018,0.00795,0.90801,0.60563,0.53279,0.52916,0.28834,0.59937,0.51664,0.51286,0.26172,1.68461,2.62966,2.32411,0.01331,0,0.000854359,0.000854359,0.000854359
9,8687.53,1.48219,2.05254,1.72686,0.00797,0.87607,0.66362,0.49901,0.53158,0.3008,0.61923,0.50075,0.51399,0.27978,1.64056,2.55268,2.0717,0.01276,0,0.000817696,0.000817696,0.000817696
10,9646.51,1.4731,2.01694,1.65076,0.00767,0.85011,0.65064,0.51235,0.54083,0.30928,0.5754,0.51111,0.50612,0.27713,1.5841,2.58734,2.03721,0.01201,0,0.000781033,0.000781033,0.000781033
11,10602.3,1.44157,1.99946,1.61227,0.00739,0.84868,0.58612,0.58115,0.53115,0.30459,0.53493,0.55886,0.49254,0.26181,1.62004,2.46554,2.29466,0.01274,0,0.00074437,0.00074437,0.00074437
12,11556.2,1.42109,1.95191,1.47887,0.00722,0.78949,0.61311,0.58233,0.5434,0.31852,0.58301,0.55893,0.51531,0.28539,1.58444,2.49842,1.96075,0.01255,0,0.000707707,0.000707707,0.000707707
13,12510,1.39617,1.98475,1.49892,0.00727,0.76928,0.61517,0.52284,0.50808,0.31484,0.65254,0.54441,0.52038,0.28503,1.59365,2.43673,2.07177,0.0119,0,0.000671044,0.000671044,0.000671044
14,13465.7,1.42135,1.92247,1.47484,0.00741,0.7539,0.65006,0.57037,0.59514,0.33926,0.62573,0.55589,0.55688,0.29621,1.54771,2.44399,2.17941,0.01159,0,0.000634381,0.000634381,0.000634381
15,14426,1.40119,1.89135,1.42397,0.00728,0.7743,0.64678,0.57279,0.59411,0.35141,0.66448,0.57056,0.58641,0.31706,1.57161,2.40462,2.01589,0.01203,0,0.000597718,0.000597718,0.000597718
16,15381.1,1.38843,1.90407,1.42859,0.00703,0.75085,0.67742,0.6253,0.6301,0.36083,0.67607,0.62084,0.62812,0.32982,1.55805,2.47189,1.68889,0.01233,0,0.000561055,0.000561055,0.000561055
17,16335,1.37028,1.84017,1.38009,0.00705,0.72391,0.73609,0.58063,0.62711,0.36101,0.71326,0.55937,0.59603,0.32241,1.55811,2.41363,1.75447,0.012,0,0.000524392,0.000524392,0.000524392
18,17291.7,1.35486,1.83613,1.31129,0.00679,0.68656,0.71101,0.62077,0.6428,0.37356,0.71248,0.59313,0.60998,0.3292,1.51867,2.33465,1.79454,0.01133,0,0.000487729,0.000487729,0.000487729
19,18252,1.32355,1.74257,1.33374,0.00658,0.70194,0.72558,0.62377,0.65046,0.37507,0.72757,0.61997,0.63349,0.33741,1.50922,2.49948,1.67305,0.01107,0,0.000451066,0.000451066,0.000451066
20,19229.3,1.32946,1.78936,1.27511,0.00656,0.67344,0.75606,0.57901,0.63512,0.38452,0.74743,0.56561,0.60931,0.33257,1.47418,2.41133,1.6279,0.011,0,0.000414403,0.000414403,0.000414403
21,20177.8,1.33988,1.74432,1.20046,0.00779,0.53357,0.67885,0.64081,0.66269,0.39511,0.65841,0.6213,0.64466,0.34095,1.52861,2.45367,1.48251,0.01137,0,0.00037774,0.00037774,0.00037774
22,21123.4,1.32903,1.70225,1.14014,0.00767,0.49622,0.68073,0.6396,0.63581,0.37002,0.66703,0.62212,0.61721,0.33072,1.5132,2.38767,1.55555,0.01123,0,0.000341077,0.000341077,0.000341077
23,22064.8,1.30526,1.70554,1.06397,0.00708,0.46409,0.68528,0.67028,0.64108,0.37881,0.68248,0.63423,0.62693,0.33579,1.51691,2.38638,1.48593,0.0114,0,0.000304414,0.000304414,0.000304414
24,23024.5,1.31633,1.68327,1.06279,0.00737,0.46087,0.68463,0.66856,0.6584,0.39174,0.67725,0.64875,0.64831,0.34516,1.49724,2.33251,1.39768,0.0112,0,0.000267751,0.000267751,0.000267751
25,23997.6,1.26497,1.64945,1.03693,0.00685,0.44848,0.69316,0.69829,0.69625,0.41005,0.76693,0.62432,0.67507,0.3623,1.47881,2.4169,1.39395,0.011,0,0.000231088,0.000231088,0.000231088
26,24982.6,1.24456,1.68717,1.01013,0.00704,0.44462,0.71644,0.68803,0.70327,0.4249,0.75178,0.61163,0.68658,0.3746,1.43109,2.36067,1.43849,0.01047,0,0.000194425,0.000194425,0.000194425
27,25946.2,1.23787,1.63739,0.98438,0.00678,0.42791,0.76712,0.64891,0.70003,0.41457,0.76094,0.61502,0.68095,0.36933,1.43154,2.32254,1.41958,0.01037,0,0.000157762,0.000157762,0.000157762
28,26902.7,1.2192,1.60334,0.9602,0.00632,0.42434,0.79127,0.64909,0.72259,0.43157,0.78693,0.60768,0.70246,0.38313,1.44701,2.29808,1.34084,0.0104,0,0.000121099,0.000121099,0.000121099
29,27862.5,1.2384,1.67043,0.96575,0.00664,0.42331,0.80214,0.64555,0.71136,0.42595,0.79313,0.61073,0.69331,0.37848,1.42861,2.30772,1.32567,0.01013,0,8.4436e-05,8.4436e-05,8.4436e-05
30,28817,1.20767,1.6116,0.94805,0.00616,0.40951,0.7699,0.66263,0.71254,0.42629,0.76913,0.60344,0.68758,0.37482,1.41872,2.29435,1.33285,0.01003,0,4.7773e-05,4.7773e-05,4.7773e-05
