epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,4.1204,1.8299,5.28608,5.57325,0.02415,9.61812,0,0,0,0,0,0,0,0,2.62977,4.50806,7.30574,0.02637,0,0,0,0
2,7.5069,1.58879,4.852,5.75734,0.02247,9.6119,0,0,0,0,0,0,0,0,2.62977,4.50806,7.30574,0.02637,0,3.9274e-05,3.9274e-05,3.9274e-05
3,10.6894,1.80587,4.77462,6.30236,0.03439,9.60693,0,0,0,0,0,0,0,0,2.62977,4.50806,7.30574,0.02637,0,7.77625e-05,7.77625e-05,7.77625e-05
4,13.931,1.8785,5.43726,6.16055,0.03515,9.61666,0,0,0,0,0,0,0,0,2.59664,4.60743,7.22351,0.02672,0,0.000115466,0.000115466,0.000115466
5,17.1697,1.87371,4.77697,5.57509,0.02853,9.5092,0,0,0,0,0,0,0,0,2.59664,4.60743,7.22351,0.02672,0,0.000114288,0.000114288,0.000114288
6,20.7979,1.6238,5.73629,5.64423,0.01983,9.52619,0,0,0,0,0,0,0,0,2.59664,4.60743,7.22351,0.02672,0,0.00011311,0.00011311,0.00011311
7,24.7883,1.9277,4.68826,5.91474,0.02287,9.54801,0,0,0,0,0,0,0,0,2.59413,4.69972,7.20728,0.02566,0,0.000111931,0.000111931,0.000111931
8,28.9654,1.50645,4.12823,5.90478,0.01623,9.51108,0,0,0,0,0,0,0,0,2.59413,4.69972,7.20728,0.02566,0,0.000110753,0.000110753,0.000110753
9,32.737,1.9139,4.59168,5.38831,0.02642,9.45398,0,0,0,0,0,0,0,0,2.59413,4.69972,7.20728,0.02566,0,0.000109575,0.000109575,0.000109575
10,37.2085,1.72828,4.92841,5.75303,0.01846,9.5006,0,0,0,0,0,0,0,0,2.58039,4.75097,7.20445,0.02468,0,0.000108397,0.000108397,0.000108397
11,41.4932,1.79055,4.94883,5.67128,0.01841,9.38503,0,0,0,0,0,0,0,0,2.58039,4.75097,7.20445,0.02468,0,0.000107219,0.000107219,0.000107219
12,45.6515,1.51757,4.26326,5.68728,0.01787,9.43371,0,0,0,0,0,0,0,0,2.58039,4.75097,7.20445,0.02468,0,0.000106041,0.000106041,0.000106041
13,49.9591,1.85334,5.24818,6.16127,0.03122,9.42839,0,0,0,0,0,0,0,0,2.58632,4.75024,7.20809,0.024,0,0.000104863,0.000104863,0.000104863
14,53.9516,1.54551,4.46784,5.68668,0.01892,9.33742,0,0,0,0,0,0,0,0,2.58632,4.75024,7.20809,0.024,0,0.000103685,0.000103685,0.000103685
15,58.0602,1.55435,4.55057,5.54207,0.01659,9.35708,0,0,0,0,0,0,0,0,2.58632,4.75024,7.20809,0.024,0,0.000102507,0.000102507,0.000102507
16,62.6022,1.41008,4.5124,5.82957,0.02407,9.35143,0,0,0,0,0,0,0,0,2.52428,4.80112,7.18356,0.02311,0,0.000101329,0.000101329,0.000101329
17,66.6494,1.47286,3.86702,5.88801,0.0209,9.31571,0,0,0,0,0,0,0,0,2.52428,4.80112,7.18356,0.02311,0,0.00010015,0.00010015,0.00010015
18,70.6601,1.443,4.41918,5.50659,0.01532,9.27781,0,0,0,0,0,0,0,0,2.52428,4.80112,7.18356,0.02311,0,9.89723e-05,9.89723e-05,9.89723e-05
19,75.4226,1.59852,4.59186,5.61173,0.01848,9.28292,0,0,0,0,0,0,0,0,2.49403,4.78662,7.17903,0.02216,0,9.77942e-05,9.77942e-05,9.77942e-05
20,78.5419,1.42593,4.01798,5.81778,0.01351,9.2654,0,0,0,0,0,0,0,0,2.49403,4.78662,7.17903,0.02216,0,9.66161e-05,9.66161e-05,9.66161e-05
21,81.7207,1.51332,4.033,5.27982,0.02276,9.22509,0,0,0,0,0,0,0,0,2.49403,4.78662,7.17903,0.02216,0,9.5438e-05,9.5438e-05,9.5438e-05
22,84.7556,1.27747,4.91882,5.81897,0.0178,9.25511,0,0,0,0,0,0,0,0,2.53744,4.77017,7.19876,0.023,0,9.42599e-05,9.42599e-05,9.42599e-05
23,87.7374,1.37004,4.4215,5.58478,0.01447,9.16821,0,0,0,0,0,0,0,0,2.53744,4.77017,7.19876,0.023,0,9.30818e-05,9.30818e-05,9.30818e-05
24,90.9116,1.21567,4.0293,5.6586,0.01414,9.17835,0,0,0,0,0,0,0,0,2.53744,4.77017,7.19876,0.023,0,9.19037e-05,9.19037e-05,9.19037e-05
25,94.048,1.40193,3.56263,5.50713,0.01911,9.17988,0,0,0,0,0,0,0,0,2.56978,4.75244,7.2203,0.02348,0,9.07256e-05,9.07256e-05,9.07256e-05
26,97.0286,1.36342,4.55212,5.50529,0.01515,9.12349,0,0,0,0,0,0,0,0,2.56978,4.75244,7.2203,0.02348,0,8.95475e-05,8.95475e-05,8.95475e-05
27,100.048,1.451,4.15568,5.51255,0.01554,9.11757,0,0,0,0,0,0,0,0,2.56978,4.75244,7.2203,0.02348,0,8.83694e-05,8.83694e-05,8.83694e-05
28,103.208,1.71635,3.6942,5.58562,0.0201,9.11491,0,0,0,0,0,0,0,0,2.59236,4.65878,7.19465,0.02304,0,8.71913e-05,8.71913e-05,8.71913e-05
29,106.924,1.80757,4.42499,6.03071,0.01688,9.10622,0,0,0,0,0,0,0,0,2.59236,4.65878,7.19465,0.02304,0,8.60132e-05,8.60132e-05,8.60132e-05
30,110.246,1.37755,3.7221,5.39423,0.01447,9.08086,0,0,0,0,0,0,0,0,2.59236,4.65878,7.19465,0.02304,0,8.48351e-05,8.48351e-05,8.48351e-05
31,113.466,1.33541,3.83476,5.60545,0.01645,9.07257,0,0,0,0,0,0,0,0,2.5945,4.63563,7.19805,0.02333,0,8.3657e-05,8.3657e-05,8.3657e-05
32,116.447,1.42899,3.91316,5.61617,0.01361,9.04028,0,0,0,0,0,0,0,0,2.5945,4.63563,7.19805,0.02333,0,8.24789e-05,8.24789e-05,8.24789e-05
33,119.475,1.47126,3.98114,5.43944,0.02169,9.02092,0,0,0,0,0,0,0,0,2.5945,4.63563,7.19805,0.02333,0,8.13008e-05,8.13008e-05,8.13008e-05
34,122.51,1.14096,4.00978,5.54323,0.01631,9.03199,0,0,0,0,0,0,0,0,2.60023,4.58709,7.20508,0.0233,0,8.01227e-05,8.01227e-05,8.01227e-05
35,125.494,1.54365,3.99553,5.51289,0.01656,8.95201,0,0,0,0,0,0,0,0,2.60023,4.58709,7.20508,0.0233,0,7.89446e-05,7.89446e-05,7.89446e-05
36,128.589,1.37086,3.91502,5.34563,0.01393,8.94934,0,0,0,0,0,0,0,0,2.60023,4.58709,7.20508,0.0233,0,7.77665e-05,7.77665e-05,7.77665e-05
37,131.577,1.40872,4.38004,5.94134,0.02331,8.98003,0,0,0,0,0,0,0,0,2.53144,4.58854,7.17628,0.02319,0,7.65884e-05,7.65884e-05,7.65884e-05
38,134.587,1.41028,3.82724,5.30808,0.01514,8.90092,0,0,0,0,0,0,0,0,2.53144,4.58854,7.17628,0.02319,0,7.54103e-05,7.54103e-05,7.54103e-05
39,137.609,1.11971,3.79068,5.24458,0.0152,8.90216,0,0,0,0,0,0,0,0,2.53144,4.58854,7.17628,0.02319,0,7.42322e-05,7.42322e-05,7.42322e-05
40,140.498,1.41882,5.37588,6.54994,0.01985,8.95736,0,0,0,0,0,0,0,0,2.53676,4.65626,7.17169,0.02383,0,7.30541e-05,7.30541e-05,7.30541e-05
41,143.442,1.16895,3.3377,5.42605,0.01344,8.88413,0,0,0,0,0,0,0,0,2.53676,4.65626,7.17169,0.02383,0,7.1876e-05,7.1876e-05,7.1876e-05
42,146.612,1.40467,4.04982,5.53952,0.01766,8.88236,0,0,0,0,0,0,0,0,2.53676,4.65626,7.17169,0.02383,0,7.06979e-05,7.06979e-05,7.06979e-05
43,149.578,1.17582,3.178,6.2292,0.01912,8.95179,0,0,0,0,0,0,0,0,2.54101,4.69026,7.17119,0.0243,0,6.95198e-05,6.95198e-05,6.95198e-05
44,152.558,1.45211,3.66802,5.47996,0.01793,8.84502,0,0,0,0,0,0,0,0,2.54101,4.69026,7.17119,0.0243,0,6.83417e-05,6.83417e-05,6.83417e-05
45,155.559,1.12867,3.49199,5.54233,0.01721,8.85399,0,0,0,0,0,0,0,0,2.54101,4.69026,7.17119,0.0243,0,6.71636e-05,6.71636e-05,6.71636e-05
46,158.643,1.48168,3.56067,5.73332,0.02161,8.85926,0,0,0,0,0,0,0,0,2.55469,4.75815,7.17721,0.02572,0,6.59855e-05,6.59855e-05,6.59855e-05
47,161.692,1.34318,3.63578,5.6311,0.01439,8.80824,0,0,0,0,0,0,0,0,2.55469,4.75815,7.17721,0.02572,0,6.48074e-05,6.48074e-05,6.48074e-05
48,164.828,1.25874,3.80357,5.24947,0.01446,8.77536,0,0,0,0,0,0,0,0,2.55469,4.75815,7.17721,0.02572,0,6.36293e-05,6.36293e-05,6.36293e-05
49,167.992,1.38414,3.93745,5.66643,0.01527,8.82385,0,0,0,0,0,0,0,0,2.56621,4.79378,7.18118,0.02604,0,6.24512e-05,6.24512e-05,6.24512e-05
50,171.206,1.43894,3.74815,5.5629,0.0153,8.7475,0,0,0,0,0,0,0,0,2.56621,4.79378,7.18118,0.02604,0,6.12731e-05,6.12731e-05,6.12731e-05
51,174.35,1.40253,3.44744,5.20077,0.01546,8.7508,0,0,0,0,0,0,0,0,2.56621,4.79378,7.18118,0.02604,0,6.0095e-05,6.0095e-05,6.0095e-05
52,177.366,1.59595,3.7759,5.70823,0.01523,8.81031,0,0,0,0,0,0,0,0,2.58601,4.80271,7.1892,0.02663,0,5.89169e-05,5.89169e-05,5.89169e-05
53,180.335,1.01462,3.3092,5.60875,0.01459,8.78325,0,0,0,0,0,0,0,0,2.58601,4.80271,7.1892,0.02663,0,5.77388e-05,5.77388e-05,5.77388e-05
54,183.32,1.26149,3.3622,5.78988,0.0186,8.76382,0,0,0,0,0,0,0,0,2.58601,4.80271,7.1892,0.02663,0,5.65607e-05,5.65607e-05,5.65607e-05
55,186.414,1.28676,3.66616,5.59117,0.01191,8.73827,0,0,0,0,0,0,0,0,2.55172,4.81301,7.17202,0.02603,0,5.53826e-05,5.53826e-05,5.53826e-05
56,189.386,1.30229,4.00263,5.83689,0.01154,8.75971,0,0,0,0,0,0,0,0,2.55172,4.81301,7.17202,0.02603,0,5.42045e-05,5.42045e-05,5.42045e-05
57,192.406,1.08208,3.22879,5.35552,0.01021,8.70702,0,0,0,0,0,0,0,0,2.55172,4.81301,7.17202,0.02603,0,5.30264e-05,5.30264e-05,5.30264e-05
58,195.427,1.45336,3.3393,5.47213,0.01478,8.72462,0,0,0,0,0,0,0,0,2.56505,4.68215,7.17505,0.02496,0,5.18483e-05,5.18483e-05,5.18483e-05
59,198.344,1.39445,3.09603,5.77927,0.02137,8.7042,0,0,0,0,0,0,0,0,2.56505,4.68215,7.17505,0.02496,0,5.06702e-05,5.06702e-05,5.06702e-05
60,201.294,1.0748,3.27347,5.45952,0.01539,8.68127,0,0,0,0,0,0,0,0,2.56505,4.68215,7.17505,0.02496,0,4.94921e-05,4.94921e-05,4.94921e-05
61,204.382,0.96014,3.0898,5.3327,0.00971,8.70393,0,0,0,0,0,0,0,0,2.58123,4.55971,7.17488,0.02432,0,4.8314e-05,4.8314e-05,4.8314e-05
62,207.327,1.03306,3.33009,5.56732,0.01292,8.67154,0,0,0,0,0,0,0,0,2.58123,4.55971,7.17488,0.02432,0,4.71359e-05,4.71359e-05,4.71359e-05
63,210.275,0.95633,3.15745,5.78629,0.01487,8.70377,0,0,0,0,0,0,0,0,2.58123,4.55971,7.17488,0.02432,0,4.59578e-05,4.59578e-05,4.59578e-05
64,213.632,1.26029,3.28877,5.24581,0.01244,8.6423,0,0,0,0,0,0,0,0,2.6096,4.63767,7.17793,0.02535,0,4.47797e-05,4.47797e-05,4.47797e-05
65,216.609,1.27331,3.01428,5.57152,0.01298,8.63662,0,0,0,0,0,0,0,0,2.6096,4.63767,7.17793,0.02535,0,4.36016e-05,4.36016e-05,4.36016e-05
66,219.601,1.04342,3.13002,5.44127,0.01191,8.63745,0,0,0,0,0,0,0,0,2.6096,4.63767,7.17793,0.02535,0,4.24235e-05,4.24235e-05,4.24235e-05
67,222.743,1.33492,3.31585,5.33667,0.01184,8.62851,0,0,0,0,0,0,0,0,2.63353,4.65771,7.18567,0.02549,0,4.12454e-05,4.12454e-05,4.12454e-05
68,225.825,1.45962,3.67776,5.48351,0.01458,8.5592,0,0,0,0,0,0,0,0,2.63353,4.65771,7.18567,0.02549,0,4.00673e-05,4.00673e-05,4.00673e-05
69,228.822,1.19521,3.82182,5.50523,0.01258,8.61841,0,0,0,0,0,0,0,0,2.63353,4.65771,7.18567,0.02549,0,3.88892e-05,3.88892e-05,3.88892e-05
70,231.854,1.27052,3.21487,5.8789,0.01642,8.6358,0,0,0,0,0,0,0,0,2.63508,4.66596,7.18306,0.0255,0,3.77111e-05,3.77111e-05,3.77111e-05
71,234.789,1.29056,3.03658,5.73799,0.0135,8.61238,0,0,0,0,0,0,0,0,2.63508,4.66596,7.18306,0.0255,0,3.6533e-05,3.6533e-05,3.6533e-05
72,238.039,1.18792,3.21285,5.55694,0.01194,8.60574,0,0,0,0,0,0,0,0,2.63508,4.66596,7.18306,0.0255,0,3.53549e-05,3.53549e-05,3.53549e-05
73,242.133,1.20094,3.16279,5.23522,0.01477,8.56778,0,0,0,0,0,0,0,0,2.64886,4.68862,7.19032,0.02575,0,3.41768e-05,3.41768e-05,3.41768e-05
