epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,924.717,1.43104,1.78666,1.6446,0.01207,2.53732,0.90707,0.62782,0.73853,0.48576,0.90256,0.6245,0.72989,0.44041,1.22529,1.93543,1.30995,0.01003,0,1.66534e-05,1.66534e-05,0.0667098
2,1823.56,1.1754,1.60155,1.30882,0.01015,1.98807,0.80786,0.7277,0.76921,0.52717,0.79713,0.72009,0.75481,0.45813,1.09262,1.85786,1.25306,0.00912,0,3.16708e-05,3.16708e-05,0.0333914
3,939.201,1.04407,1.38779,1.13362,0.00812,1.6549,0.89223,0.7057,0.79548,0.54093,0.8681,0.6897,0.78063,0.47201,1.09561,1.831,1.1392,0.00925,0,4.50381e-05,4.50381e-05,7.14721e-05
